"","title","country","view","sub","video"
"1","T-Series","IN",239253349937,2.54e+08,19886
"2","MrBeast","US",37948778071,2.15e+08,769
"3"," JJ's Animal Adventure","US",480914844,1400000,169
"4","SET India","IN",154539718427,1.65e+08,122681
"5","âœ¿ Kids Diana Show","US",97599703845,1.16e+08,1140
"6","PewDiePie","JP",29179774842,1.11e+08,4743
"7","Like Nastya","US",95438650842,1.1e+08,852
"8","Vlad and Niki","US",82076005975,1.05e+08,615
"9","Zee Music Company","IN",62190514237,1.02e+08,9557
"10","WWE",NA,80190864113,98200000,72682
"11","Goldmines","IN",27058132139,92300000,7231
"12","BLACKPINK","KR",33904663784,92200000,587
"13","Sony SAB","IN",107338320821,87400000,76133
"14","5-Minute Crafts","US",26777003738,80400000,6719
"15","BANGTANTV",NA,21795724972,76900000,2401
"16","Zee TV","IN",83455977219,74800000,150610
"17","HYBE LABELS","KR",31280379480,73500000,1560
"18","Justin Bieber","CA",31349772873,72200000,249
"19","Pinkfong Baby Shark - Kids' Songs & Stories","US",40683832522,71200000,3066
"20","ChuChu TV Nursery Rhymes & Kids Songs","IN",48385794339,68900000,731
"21","Colors TV","IN",66214943786,68800000,124151
"22","Shemaroo","IN",23539540610,50200000,11400
"23","Canal KondZilla","BR",37646409284,66700000,2690
"24","T-Series Bhakti Sagar","IN",31772234209,64600000,26832
"25","Tips Official","IN",35647997161,62400000,5179
"26","El Reino Infantil","AR",60609933219,61200000,1591
"27","Movieclips","US",60341386689,60200000,39871
"28","Aaj Tak","IN",27397003250,60100000,317443
"29","Dude Perfect","US",16812112678,59900000,407
"30","WaveMusic","US",2309159301,4650000,1911
"31","Sony Music India","IN",30138416059,58600000,4195
"32","EminemMusic",NA,28266716817,5.8e+07,157
"33","infobells - Telugu","IN",15946930793,30200000,545
"34","YRF","IN",38016469414,57300000,3882
"35","Marshmello","US",14865761573,56700000,454
"36","LooLoo Kids - Nursery Rhymes and Children's Songs","US",33431912252,55500000,761
"37","Taylor Swift",NA,32033125468,55500000,225
"38","BillionSurpriseToys  - Nursery Rhymes & Cartoons","US",11127999665,54300000,925
"39","Ed Sheeran",NA,31159950083,53900000,471
"40","Ariana Grande",NA,24673381554,53100000,154
"41","A4","BY",25300673007,48900000,832
"42","JuegaGerman","CL",14945313575,48900000,2088
"43","ARY Digital HD","PK",44920614267,48900000,123405
"44","Billie Eilish","US",14330078464,48800000,79
"45","Get Movies","RU",31678076149,48800000,3415
"46","SonyMusicIndiaVEVO",NA,28926043716,48300000,3564
"47","Toys and Colors","US",54873014038,48200000,1108
"48","HAR PAL GEO","PK",45913119134,48100000,113658
"49","Bad Bunny","PR",32613420646,47200000,153
