"","title","country","view","sub","video","view_per_sub","view_per_video"
"1","T-Series","IN",239253349937,2.54e+08,19886,941.942322586614,12031245.5967515
"2","MrBeast","US",37948778071,2.15e+08,769,176.505944516279,49348215.9570871
"3"," JJ's Animal Adventure","US",480914844,1400000,169,343.510602857143,2845649.96449704
"4","SET India","IN",154539718427,1.65e+08,122681,936.60435410303,1259687.46934733
"5","âœ¿ Kids Diana Show","US",97599703845,1.16e+08,1140,841.376757284483,85613775.3026316
"6","PewDiePie","JP",29179774842,1.11e+08,4743,262.880854432432,6152176.85895003
"7","Like Nastya","US",95438650842,1.1e+08,852,867.624098563636,112017195.823944
"8","Vlad and Niki","US",82076005975,1.05e+08,615,781.676247380952,133456920.284553
"9","Zee Music Company","IN",62190514237,1.02e+08,9557,609.710923892157,6507325.9639008
"10","WWE",NA,80190864113,98200000,72682,816.607577525458,1103311.19277125
"11","Goldmines","IN",27058132139,92300000,7231,293.154194355363,3741962.67998894
"12","BLACKPINK","KR",33904663784,92200000,587,367.729542125813,57759222.8006814
"13","Sony SAB","IN",107338320821,87400000,76133,1228.12724051487,1409879.03827512
"14","5-Minute Crafts","US",26777003738,80400000,6719,333.047310174129,3985266.2208662
"15","BANGTANTV",NA,21795724972,76900000,2401,283.429453472042,9077769.66763848
"16","Zee TV","IN",83455977219,74800000,150610,1115.72162057487,554119.761098201
"17","HYBE LABELS","KR",31280379480,73500000,1560,425.583394285714,20051525.3076923
"18","Justin Bieber","CA",31349772873,72200000,249,434.207380512465,125902702.301205
"19","Pinkfong Baby Shark - Kids' Songs & Stories","US",40683832522,71200000,3066,571.402142162921,13269351.7684279
"20","ChuChu TV Nursery Rhymes & Kids Songs","IN",48385794339,68900000,731,702.261166023222,66191237.125855
"21","Colors TV","IN",66214943786,68800000,124151,962.426508517442,533342.009214585
"22","Shemaroo","IN",23539540610,50200000,11400,468.915151593626,2064871.98333333
"23","Canal KondZilla","BR",37646409284,66700000,2690,564.413932293853,13994947.6892193
"24","T-Series Bhakti Sagar","IN",31772234209,64600000,26832,491.830250913313,1184117.25585122
"25","Tips Official","IN",35647997161,62400000,5179,571.282005785256,6883181.53330759
"26","El Reino Infantil","AR",60609933219,61200000,1591,990.358385931373,38095495.4236329
"27","Movieclips","US",60341386689,60200000,39871,1002.34861609635,1513415.43199318
"28","Aaj Tak","IN",27397003250,60100000,317443,455.856959234609,86305.2681898798
"29","Dude Perfect","US",16812112678,59900000,407,280.669660734558,41307402.1572482
"30","WaveMusic","US",2309159301,4650000,1911,496.593398064516,1208351.28257457
"31","Sony Music India","IN",30138416059,58600000,4195,514.307441279863,7184366.16424315
"32","EminemMusic",NA,28266716817,5.8e+07,157,487.3571865,180042782.273885
"33","infobells - Telugu","IN",15946930793,30200000,545,528.044065993377,29260423.4733945
"34","YRF","IN",38016469414,57300000,3882,663.463689598604,9793011.18341061
"35","Marshmello","US",14865761573,56700000,454,262.182743791887,32743968.222467
"36","LooLoo Kids - Nursery Rhymes and Children's Songs","US",33431912252,55500000,761,602.376797333333,43931553.5505913
"37","Taylor Swift",NA,32033125468,55500000,225,577.173431855856,142369446.524444
"38","BillionSurpriseToys  - Nursery Rhymes & Cartoons","US",11127999665,54300000,925,204.935537108656,12030269.9081081
"39","Ed Sheeran",NA,31159950083,53900000,471,578.106680575139,66157006.5456476
"40","Ariana Grande",NA,24673381554,53100000,154,464.658786327684,160216763.337662
"41","A4","BY",25300673007,48900000,832,517.39617601227,30409462.7487981
"42","JuegaGerman","CL",14945313575,48900000,2088,305.630134458078,7157717.22940613
"43","ARY Digital HD","PK",44920614267,48900000,123405,918.621968650307,364009.677622463
"44","Billie Eilish","US",14330078464,48800000,79,293.649148852459,181393398.278481
"45","Get Movies","RU",31678076149,48800000,3415,649.140904692623,9276156.99824305
"46","SonyMusicIndiaVEVO",NA,28926043716,48300000,3564,598.882892670807,8116173.88215488
"47","Toys and Colors","US",54873014038,48200000,1108,1138.4442746473,49524380.900722
"48","HAR PAL GEO","PK",45913119134,48100000,113658,954.534701330561,403958.534674198
"49","Bad Bunny","PR",32613420646,47200000,153,690.962301822034,213159612.065359
